set	gene_id
innatedb_genes	ENSG00000259207
innatedb_genes	ENSG00000150995
innatedb_genes	ENSG00000096433
innatedb_genes	ENSG00000162434
innatedb_genes	ENSG00000096968
innatedb_genes	ENSG00000105639
innatedb_genes	ENSG00000166086
innatedb_genes	ENSG00000070495
innatedb_genes	ENSG00000177606
innatedb_genes	ENSG00000114166
innatedb_genes	ENSG00000121361
innatedb_genes	ENSG00000004487
innatedb_genes	ENSG00000066135
innatedb_genes	ENSG00000088247
innatedb_genes	ENSG00000240403
innatedb_genes	ENSG00000049130
innatedb_genes	ENSG00000167748
innatedb_genes	ENSG00000114030
innatedb_genes	ENSG00000167613
innatedb_genes	ENSG00000213658
innatedb_genes	ENSG00000148346
innatedb_genes	ENSG00000174697
innatedb_genes	ENSG00000100097
innatedb_genes	ENSG00000100079
innatedb_genes	ENSG00000131981
innatedb_genes	ENSG00000171747
innatedb_genes	ENSG00000116977
innatedb_genes	ENSG00000168961
innatedb_genes	ENSG00000100600
innatedb_genes	ENSG00000239998
innatedb_genes	ENSG00000239961
innatedb_genes	ENSG00000087253
innatedb_genes	ENSG00000124831
innatedb_genes	ENSG00000093167
innatedb_genes	ENSG00000188906
innatedb_genes	ENSG00000204482
innatedb_genes	ENSG00000213903
innatedb_genes	ENSG00000111321
innatedb_genes	ENSG00000112799
innatedb_genes	ENSG00000122224
innatedb_genes	ENSG00000154589
innatedb_genes	ENSG00000254087
innatedb_genes	ENSG00000204103
innatedb_genes	ENSG00000172175
innatedb_genes	ENSG00000197769
innatedb_genes	ENSG00000169032
innatedb_genes	ENSG00000126934
innatedb_genes	ENSG00000034152
innatedb_genes	ENSG00000065559
innatedb_genes	ENSG00000108984
innatedb_genes	ENSG00000076984
innatedb_genes	ENSG00000095015
innatedb_genes	ENSG00000139625
innatedb_genes	ENSG00000006062
innatedb_genes	ENSG00000198909
innatedb_genes	ENSG00000085511
innatedb_genes	ENSG00000197442
innatedb_genes	ENSG00000135341
innatedb_genes	ENSG00000107968
innatedb_genes	ENSG00000100030
innatedb_genes	ENSG00000112062
innatedb_genes	ENSG00000107643
innatedb_genes	ENSG00000050748
innatedb_genes	ENSG00000162889
innatedb_genes	ENSG00000198060
innatedb_genes	ENSG00000019169
innatedb_genes	ENSG00000127241
innatedb_genes	ENSG00000009724
innatedb_genes	ENSG00000088888
innatedb_genes	ENSG00000165471
innatedb_genes	ENSG00000103313
innatedb_genes	ENSG00000153208
innatedb_genes	ENSG00000168958
innatedb_genes	ENSG00000171109
innatedb_genes	ENSG00000116688
innatedb_genes	ENSG00000101871
innatedb_genes	ENSG00000080561
innatedb_genes	ENSG00000240972
innatedb_genes	ENSG00000198997
innatedb_genes	ENSG00000284038
innatedb_genes	ENSG00000207744
innatedb_genes	ENSG00000284440
innatedb_genes	ENSG00000284321
innatedb_genes	ENSG00000207971
innatedb_genes	ENSG00000207863
innatedb_genes	ENSG00000199161
innatedb_genes	ENSG00000221697
innatedb_genes	ENSG00000208009
innatedb_genes	ENSG00000267200
innatedb_genes	ENSG00000283927
innatedb_genes	ENSG00000207942
innatedb_genes	ENSG00000207708
innatedb_genes	ENSG00000276365
innatedb_genes	ENSG00000283733
innatedb_genes	ENSG00000202569
innatedb_genes	ENSG00000199085
innatedb_genes	ENSG00000199122
innatedb_genes	ENSG00000207947
